,index,name,diet,period,Lived In,type,length,species,link,Start Year (Mil. Years Ago),End Year (Mil. Years Ago),Existance Span (Mil. Years)
73,73,conchoraptor,carnivorous,Late Cretaceous,Mongolia,small theropod,1.5m,gracilis,https://www.nhm.ac.uk/discover/dino-directory/conchoraptor.html,81.0,76.0,5
74,74,confuciusornis,carnivorous,Early Cretaceous,China,small theropod,0.25m,sanctus,https://www.nhm.ac.uk/discover/dino-directory/confuciusornis.html,127.0,121.0,6
75,75,corythosaurus,herbivorous,Late Cretaceous,USA,euornithopod,10.0m,casuarius,https://www.nhm.ac.uk/discover/dino-directory/corythosaurus.html,76.0,74.0,2
76,76,cryolophosaurus,carnivorous,Early Jurassic,Antarctica,large theropod,8.0m,elliotti,https://www.nhm.ac.uk/discover/dino-directory/cryolophosaurus.html,170.0,0.0,170
77,77,dacentrurus,herbivorous,Late Jurassic,United Kingdom,armoured dinosaur,6.0m,armatus,https://www.nhm.ac.uk/discover/dino-directory/dacentrurus.html,154.0,150.0,4
78,78,daspletosaurus,carnivorous,Late Cretaceous,Canada,large theropod,9.0m,torosus,https://www.nhm.ac.uk/discover/dino-directory/daspletosaurus.html,76.0,74.0,2
79,79,datousaurus,herbivorous,Mid Jurassic,China,sauropod,15.0m,bashanensis,https://www.nhm.ac.uk/discover/dino-directory/datousaurus.html,170.0,0.0,170
80,80,deinocheirus,omnivorous,Late Cretaceous,Mongolia,large theropod,10.0m,mirificus,https://www.nhm.ac.uk/discover/dino-directory/deinocheirus.html,70.0,66.0,4
81,81,deinonychus,carnivorous,Early Cretaceous,USA,small theropod,3.0m,antirrhopus,https://www.nhm.ac.uk/discover/dino-directory/deinonychus.html,120.0,110.0,10
82,82,deltadromeus,carnivorous,Late Cretaceous,Morocco,large theropod,8.1m,agilis,https://www.nhm.ac.uk/discover/dino-directory/deltadromeus.html,99.0,94.0,5
83,83,dicraeosaurus,herbivorous,Late Jurassic,Tanzania,sauropod,20.0m,hansemanni,https://www.nhm.ac.uk/discover/dino-directory/dicraeosaurus.html,150.0,135.0,15
84,84,dilophosaurus,carnivorous,Early Jurassic,USA,large theropod,6.0m,,https://www.nhm.ac.uk/discover/dino-directory/dilophosaurus.html,190.0,0.0,190
85,85,diplodocus,herbivorous,Late Jurassic,USA,sauropod,26.0m,longus,https://www.nhm.ac.uk/discover/dino-directory/diplodocus.html,155.0,145.0,10
86,86,dromaeosaurus,carnivorous,Late Cretaceous,USA,small theropod,1.8m,albertensis,https://www.nhm.ac.uk/discover/dino-directory/dromaeosaurus.html,76.0,74.0,2
87,87,dromiceiomimus,omnivorous,Late Cretaceous,Canada,large theropod,3.5m,brevitertius,https://www.nhm.ac.uk/discover/dino-directory/dromiceiomimus.html,74.0,70.0,4
88,88,dryosaurus,herbivorous,Late Jurassic,USA,euornithopod,4.0m,altus,https://www.nhm.ac.uk/discover/dino-directory/dryosaurus.html,155.0,140.0,15
89,89,dryptosaurus,carnivorous,Late Cretaceous,USA,large theropod,6.4m,aquilunguis,https://www.nhm.ac.uk/discover/dino-directory/dryptosaurus.html,84.0,65.0,19
90,90,dubreuillosaurus,carnivorous,Late Jurassic,France,large theropod,,valesdunensis,https://www.nhm.ac.uk/discover/dino-directory/dubreuillosaurus.html,169.0,164.0,5
91,91,edmontonia,herbivorous,Late Cretaceous,Canada,armoured dinosaur,4.0m,longiceps,https://www.nhm.ac.uk/discover/dino-directory/edmontonia.html,76.0,74.0,2
92,92,edmontosaurus,herbivorous,Late Cretaceous,Canada,euornithopod,13.0m,regalis,https://www.nhm.ac.uk/discover/dino-directory/edmontosaurus.html,76.0,65.0,11
93,93,einiosaurus,herbivorous,Late Cretaceous,USA,ceratopsian,6.0m,procurvicornis,https://www.nhm.ac.uk/discover/dino-directory/einiosaurus.html,74.0,0.0,74
94,94,elaphrosaurus,carnivorous,Late Jurassic,Tanzania,large theropod,6.2m,bambergi,https://www.nhm.ac.uk/discover/dino-directory/elaphrosaurus.html,154.0,151.0,3
95,95,emausaurus,herbivorous,Mid Jurassic,Germany,armoured dinosaur,2.0m,ernsti,https://www.nhm.ac.uk/discover/dino-directory/emausaurus.html,190.0,180.0,10
96,96,eolambia,herbivorous,Late Cretaceous,USA,euornithopod,,caroljonesa,https://www.nhm.ac.uk/discover/dino-directory/eolambia.html,99.0,94.0,5
97,97,eoraptor,carnivorous,Late Triassic,Argentina,small theropod,1.0m,lunensis,https://www.nhm.ac.uk/discover/dino-directory/eoraptor.html,228.0,0.0,228
98,98,eotyrannus,carnivorous,Early Cretaceous,United Kingdom,large theropod,5.0m,lengi,https://www.nhm.ac.uk/discover/dino-directory/eotyrannus.html,127.0,121.0,6
99,99,equijubus,herbivorous,Early Cretaceous,China,euornithopod,,normani,https://www.nhm.ac.uk/discover/dino-directory/equijubus.html,127.0,99.0,28
100,100,erketu,herbivorous,Early Cretaceous,Mongolia,sauropod,15.0m,ellisoni,https://www.nhm.ac.uk/discover/dino-directory/erketu.html,,,28
101,101,erlikosaurus,omnivorous,Late Cretaceous,Mongolia,small theropod,3.4m,andrewsi,https://www.nhm.ac.uk/discover/dino-directory/erlikosaurus.html,99.0,89.0,10
