,index,name,diet,period,Lived In,type,length,species,link,Start Year (Mil. Years Ago),End Year (Mil. Years Ago),Existance Span (Mil. Years)
155,156,liaoceratops,herbivorous,Early Cretaceous,China,ceratopsian,,yanzigouensis,https://www.nhm.ac.uk/discover/dino-directory/liaoceratops.html,127.0,121.0,6
156,157,ligabuesaurus,herbivorous,Early Cretaceous,Argentina,sauropod,24.0m,leanzai,https://www.nhm.ac.uk/discover/dino-directory/ligabuesaurus.html,121.0,99.0,22
157,158,liliensternus,carnivorous,Late Triassic,Germany,small theropod,5.0m,liliensterni,https://www.nhm.ac.uk/discover/dino-directory/liliensternus.html,205.0,202.0,3
158,159,lophorhothon,herbivorous,Late Cretaceous,USA,euornithopod,4.5m,atopus,https://www.nhm.ac.uk/discover/dino-directory/lophorhothon.html,84.0,71.0,13
159,160,lophostropheus,carnivorous,Early Jurassic,France,large theropod,6.2m,airelensis,https://www.nhm.ac.uk/discover/dino-directory/lophostropheus.html,203.0,196.0,7
160,161,lufengosaurus,herbivorous,Early Jurassic,China,sauropod,6.0m,huenei,https://www.nhm.ac.uk/discover/dino-directory/lufengosaurus.html,200.0,195.0,5
161,162,lurdusaurus,herbivorous,Early Cretaceous,Niger,euornithopod,9.0m,arenatus,https://www.nhm.ac.uk/discover/dino-directory/lurdusaurus.html,121.0,112.0,9
162,163,lycorhinus,herbivorous,Late Triassic,South Africa,euornithopod,1.2m,angustidens,https://www.nhm.ac.uk/discover/dino-directory/lycorhinus.html,205.0,195.0,10
163,164,magyarosaurus,herbivorous,Late Cretaceous,Romania,sauropod,5.0m,dacus,https://www.nhm.ac.uk/discover/dino-directory/magyarosaurus.html,71.0,65.0,6
164,165,maiasaura,herbivorous,Late Cretaceous,USA,euornithopod,9.0m,peeblesorum,https://www.nhm.ac.uk/discover/dino-directory/maiasaura.html,80.0,75.0,5
165,166,majungasaurus,carnivorous,Late Cretaceous,Madagascar,large theropod,6.0m,atopus,https://www.nhm.ac.uk/discover/dino-directory/majungasaurus.html,84.0,71.0,13
166,167,malawisaurus,herbivorous,Early Cretaceous,Malawi,sauropod,9.0m,dixeyi,https://www.nhm.ac.uk/discover/dino-directory/malawisaurus.html,121.0,112.0,9
167,168,mamenchisaurus,herbivorous,Late Jurassic,China,sauropod,22.0m,constructus,https://www.nhm.ac.uk/discover/dino-directory/mamenchisaurus.html,155.0,145.0,10
168,169,mapusaurus,carnivorous,Late Cretaceous,Argentina,large theropod,13.0m,roseae,https://www.nhm.ac.uk/discover/dino-directory/mapusaurus.html,99.0,94.0,5
169,170,marshosaurus,carnivorous,Late Jurassic,USA,large theropod,6.0m,bicentesimus,https://www.nhm.ac.uk/discover/dino-directory/marshosaurus.html,154.0,142.0,12
170,171,masiakasaurus,carnivorous,Late Cretaceous,Madagascar,small theropod,2.0m,knopfleri,https://www.nhm.ac.uk/discover/dino-directory/masiakasaurus.html,84.0,71.0,13
171,172,massospondylus,omnivorous,Early Jurassic,Zimbabwe,sauropod,4.0m,carinatus,https://www.nhm.ac.uk/discover/dino-directory/massospondylus.html,208.0,204.0,4
172,173,maxakalisaurus,herbivorous,Late Cretaceous,Brazil,sauropod,13.0m,topai,https://www.nhm.ac.uk/discover/dino-directory/maxakalisaurus.html,80.0,0.0,80
173,174,megalosaurus,carnivorous,Mid Jurassic,United Kingdom,large theropod,9.0m,bucklandii,https://www.nhm.ac.uk/discover/dino-directory/megalosaurus.html,170.0,155.0,15
174,175,melanorosaurus,omnivorous,Late Triassic,South Africa,sauropod,12.0m,readi,https://www.nhm.ac.uk/discover/dino-directory/melanorosaurus.html,227.0,221.0,6
175,176,metriacanthosaurus,carnivorous,Late Jurassic,United Kingdom,large theropod,8.2m,parkeri,https://www.nhm.ac.uk/discover/dino-directory/metriacanthosaurus.html,159.0,154.0,5
176,177,microceratus,herbivorous,Late Cretaceous,Mongolia,ceratopsian,0.5m,gobiensis,https://www.nhm.ac.uk/discover/dino-directory/microceratus.html,86.0,66.0,20
177,178,micropachycephalosaurus,herbivorous,Late Cretaceous,China,ceratopsian,0.6m,hongtuyanensis,https://www.nhm.ac.uk/discover/dino-directory/micropachycephalosaurus.html,84.0,71.0,13
178,179,microraptor,carnivorous,Early Cretaceous,China,small theropod,0.8m,zhaoianus,https://www.nhm.ac.uk/discover/dino-directory/microraptor.html,125.0,122.0,3
179,180,minmi,herbivorous,Early Cretaceous,Australia,armoured dinosaur,3.0m,paravertebra,https://www.nhm.ac.uk/discover/dino-directory/minmi.html,121.0,112.0,9
180,181,monolophosaurus,carnivorous,Mid Jurassic,China,large theropod,5.7m,jiangi,https://www.nhm.ac.uk/discover/dino-directory/monolophosaurus.html,180.0,159.0,21
181,182,mononykus,unknown,Late Cretaceous,Mongolia,small theropod,1.0m,olecranus,https://www.nhm.ac.uk/discover/dino-directory/mononykus.html,81.0,68.0,13
182,183,mussaurus,herbivorous,Late Triassic,Argentina,sauropod,3.0m,patagonicus,https://www.nhm.ac.uk/discover/dino-directory/mussaurus.html,221.0,210.0,11
183,184,muttaburrasaurus,herbivorous,Early Cretaceous,Australia,euornithopod,7.0m,langdoni,https://www.nhm.ac.uk/discover/dino-directory/muttaburrasaurus.html,110.0,100.0,10
184,185,nanshiungosaurus,omnivorous,Late Cretaceous,China,large theropod,4.4m,brevispinus,https://www.nhm.ac.uk/discover/dino-directory/nanshiungosaurus.html,84.0,71.0,13
185,186,nedoceratops,herbivorous,Late Cretaceous,USA,ceratopsian,7.0m,hatcheri,https://www.nhm.ac.uk/discover/dino-directory/nedoceratops.html,67.0,65.0,2
186,187,nemegtosaurus,herbivorous,Late Cretaceous,Mongolia,sauropod,13.0m,mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/nemegtosaurus.html,72.0,68.0,4
187,188,neovenator,carnivorous,Early Cretaceous,United Kingdom,large theropod,7.4m,salerii,https://www.nhm.ac.uk/discover/dino-directory/neovenator.html,127.0,121.0,6
188,189,neuquenosaurus,herbivorous,Late Cretaceous,Argentina,sauropod,10.0m,australis,https://www.nhm.ac.uk/discover/dino-directory/neuquenosaurus.html,71.0,65.0,6
189,190,nigersaurus,herbivorous,Early Cretaceous,Tunisia,sauropod,15.0m,taqueti,https://www.nhm.ac.uk/discover/dino-directory/nigersaurus.html,121.0,99.0,22
190,191,nipponosaurus,herbivorous,Late Cretaceous,Russia,euornithopod,,sachalinensis,https://www.nhm.ac.uk/discover/dino-directory/nipponosaurus.html,89.0,84.0,5
191,192,noasaurus,carnivorous,Late Cretaceous,Argentina,small theropod,1.0m,leali,https://www.nhm.ac.uk/discover/dino-directory/noasaurus.html,84.0,65.0,19
192,193,nodosaurus,herbivorous,Early Cretaceous,USA,armoured dinosaur,5.0m,textilis,https://www.nhm.ac.uk/discover/dino-directory/nodosaurus.html,110.0,100.0,10
193,194,nomingia,omnivorous,Late Cretaceous,Mongolia,small theropod,1.6m,gobiensis,https://www.nhm.ac.uk/discover/dino-directory/nomingia.html,72.0,68.0,4
194,195,nothronychus,omnivorous,Late Cretaceous,USA,large theropod,5.3m,mckinleyi,https://www.nhm.ac.uk/discover/dino-directory/nothronychus.html,94.0,89.0,5
195,196,nqwebasaurus,carnivorous,Mid Jurassic,South Africa,small theropod,1.0m,thwazi,https://www.nhm.ac.uk/discover/dino-directory/nqwebasaurus.html,159.0,132.0,27
196,197,omeisaurus,herbivorous,Mid Jurassic,China,sauropod,20.0m,junghsiensis,https://www.nhm.ac.uk/discover/dino-directory/omeisaurus.html,169.0,159.0,10
197,198,opisthocoelicaudia,herbivorous,Late Cretaceous,Mongolia,sauropod,12.0m,skarzynskii ,https://www.nhm.ac.uk/discover/dino-directory/opisthocoelicaudia.html,72.0,68.0,4
198,199,ornitholestes,carnivorous,Late Jurassic,USA,small theropod,2.0m,hermanni,https://www.nhm.ac.uk/discover/dino-directory/ornitholestes.html,150.0,144.0,6
199,200,ornithomimus,omnivorous,Late Cretaceous,USA,large theropod,4.0m,velox,https://www.nhm.ac.uk/discover/dino-directory/ornithomimus.html,74.0,65.0,9
200,201,orodromeus,herbivorous,Late Cretaceous,USA,euornithopod,2.0m,makelai,https://www.nhm.ac.uk/discover/dino-directory/orodromeus.html,74.0,0.0,74
201,202,oryctodromeus,herbivorous,Late Cretaceous,USA,euornithopod,2.1m,cubicularis,https://www.nhm.ac.uk/discover/dino-directory/oryctodromeus.html,99.0,94.0,5
202,203,othnielia,herbivorous,Late Jurassic,USA,euornithopod,1.4m,rex,https://www.nhm.ac.uk/discover/dino-directory/othnielia.html,154.0,142.0,12
203,204,ouranosaurus,herbivorous,Early Cretaceous,Niger,euornithopod,7.0m,nigeriensis,https://www.nhm.ac.uk/discover/dino-directory/ouranosaurus.html,115.0,100.0,15
204,205,oviraptor,omnivorous,Late Cretaceous,Mongolia,small theropod,2.0m,philoceratops,https://www.nhm.ac.uk/discover/dino-directory/oviraptor.html,85.0,75.0,10
205,206,pachycephalosaurus,herbivorous,Late Cretaceous,USA,euornithopod,8.0m,wyomingensis,https://www.nhm.ac.uk/discover/dino-directory/pachycephalosaurus.html,76.0,65.0,11
206,207,pachyrhinosaurus,herbivorous,Late Cretaceous,Canada,ceratopsian,6.0m,canadensis,https://www.nhm.ac.uk/discover/dino-directory/pachyrhinosaurus.html,76.0,74.0,2
207,208,panoplosaurus,herbivorous,Late Cretaceous,USA,armoured dinosaur,7.0m,mirus,https://www.nhm.ac.uk/discover/dino-directory/panoplosaurus.html,79.0,75.0,4
208,209,pantydraco,herbivorous,Early Jurassic,Wales,euornithopod,3.0m,caducus,https://www.nhm.ac.uk/discover/dino-directory/pantydraco.html,,,4
209,210,paralititan,herbivorous,Late Cretaceous,Egypt,sauropod,28.0m,stromeri,https://www.nhm.ac.uk/discover/dino-directory/paralititan.html,99.0,94.0,5
210,211,parasaurolophus,herbivorous,Late Cretaceous,USA,euornithopod,11.0m,walkeri,https://www.nhm.ac.uk/discover/dino-directory/parasaurolophus.html,76.0,74.0,2
211,212,parksosaurus,herbivorous,Late Cretaceous,Canada,euornithopod,3.0m,warrenae,https://www.nhm.ac.uk/discover/dino-directory/parksosaurus.html,76.0,74.0,2
212,213,patagosaurus,herbivorous,Mid Jurassic,Argentina,sauropod,18.0m,fariasi,https://www.nhm.ac.uk/discover/dino-directory/patagosaurus.html,164.0,159.0,5
213,214,pelicanimimus,carnivorous,Early Cretaceous,Spain,small theropod,2.0m,polyodon,https://www.nhm.ac.uk/discover/dino-directory/pelicanimimus.html,127.0,121.0,6
214,215,pelorosaurus,herbivorous,Early Cretaceous,United Kingdom,sauropod,25.0m,conybearei,https://www.nhm.ac.uk/discover/dino-directory/pelorosaurus.html,125.0,0.0,125
215,216,pentaceratops,herbivorous,Late Cretaceous,USA,ceratopsian,6.8m,sternbergi,https://www.nhm.ac.uk/discover/dino-directory/pentaceratops.html,76.0,74.0,2
216,217,piatnitzkysaurus,carnivorous,Late Jurassic,Argentina,large theropod,4.2m,floresi,https://www.nhm.ac.uk/discover/dino-directory/piatnitzkysaurus.html,164.0,159.0,5
217,218,pinacosaurus,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,5.0m,grangeri,https://www.nhm.ac.uk/discover/dino-directory/pinacosaurus.html,81.0,75.0,6
218,219,plateosaurus,herbivorous,Late Triassic,Switzerland,sauropod,7.0m,engelhardti,https://www.nhm.ac.uk/discover/dino-directory/plateosaurus.html,210.0,0.0,210
219,220,podokesaurus,carnivorous,Mid Jurassic,USA,small theropod,0.9m,holyokensis,https://www.nhm.ac.uk/discover/dino-directory/podokesaurus.html,195.0,180.0,15
220,221,poekilopleuron,carnivorous,Mid Jurassic,France,large theropod,9.0m,bucklandii,https://www.nhm.ac.uk/discover/dino-directory/poekilopleuron.html,169.0,164.0,5
221,222,polacanthus,herbivorous,Early Cretaceous,United Kingdom,armoured dinosaur,5.0m,foxii,https://www.nhm.ac.uk/discover/dino-directory/polacanthus.html,125.0,0.0,125
222,223,prenocephale,herbivorous,Late Cretaceous,Mongolia,euornithopod,2.4m,prenes,https://www.nhm.ac.uk/discover/dino-directory/prenocephale.html,80.0,65.0,15
223,224,probactrosaurus,herbivorous,Early Cretaceous,China,euornithopod,6.0m,gobiensis,https://www.nhm.ac.uk/discover/dino-directory/probactrosaurus.html,121.0,99.0,22
224,225,proceratosaurus,carnivorous,Mid Jurassic,United Kingdom,small theropod,4.1m,bradleyi,https://www.nhm.ac.uk/discover/dino-directory/proceratosaurus.html,169.0,164.0,5
225,226,procompsognathus,carnivorous,Late Triassic,Germany,small theropod,1.0m,triassicus,https://www.nhm.ac.uk/discover/dino-directory/procompsognathus.html,221.0,210.0,11
226,227,prosaurolophus,herbivorous,Late Cretaceous,USA,euornithopod,7.6m,maximus,https://www.nhm.ac.uk/discover/dino-directory/prosaurolophus.html,77.0,75.0,2
227,228,protarchaeopteryx,carnivorous,Early Cretaceous,China,small theropod,2.0m,robusta,https://www.nhm.ac.uk/discover/dino-directory/protarchaeopteryx.html,122.0,120.0,2
228,229,protoceratops,herbivorous,Late Cretaceous,Mongolia,ceratopsian,1.8m,andrewsi,https://www.nhm.ac.uk/discover/dino-directory/protoceratops.html,74.0,70.0,4
229,230,protohadros,herbivorous,Late Cretaceous,USA,euornithopod,6.0m,byrdi,https://www.nhm.ac.uk/discover/dino-directory/protohadros.html,99.0,94.0,5
230,231,psittacosaurus,herbivorous,Early Cretaceous,Russia,ceratopsian,2.0m,mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/psittacosaurus.html,120.0,100.0,20
231,232,quaesitosaurus,herbivorous,Late Cretaceous,Mongolia,sauropod,23.0m,orientalis,https://www.nhm.ac.uk/discover/dino-directory/quaesitosaurus.html,86.0,84.0,2
232,233,rebbachisaurus,herbivorous,Early Cretaceous,Morocco,sauropod,20.0m,garasbae,https://www.nhm.ac.uk/discover/dino-directory/rebbachisaurus.html,112.0,99.0,13
233,234,rhabdodon,herbivorous,Late Cretaceous,Spain,euornithopod,4.0m,priscus,https://www.nhm.ac.uk/discover/dino-directory/rhabdodon.html,76.0,70.0,6
234,235,rhoetosaurus,herbivorous,Mid Jurassic,Australia,sauropod,15.0m,brownei,https://www.nhm.ac.uk/discover/dino-directory/rhoetosaurus.html,177.0,169.0,8
235,236,rinchenia,omnivorous,Late Cretaceous,Mongolia,small theropod,2.5m,mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/rinchenia.html,72.0,68.0,4
236,237,riojasaurus,herbivorous/omnivorous,Late Triassic,Argentina,sauropod,5.15m,incertus,https://www.nhm.ac.uk/discover/dino-directory/riojasaurus.html,221.0,210.0,11
237,238,rugops,carnivorous,Late Cretaceous,Niger,large theropod,7.0m,primus,https://www.nhm.ac.uk/discover/dino-directory/rugops.html,95.0,0.0,95
238,239,saichania,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,6.6m,chulsanensis,https://www.nhm.ac.uk/discover/dino-directory/saichania.html,80.0,0.0,80
239,240,saltasaurus,herbivorous,Late Cretaceous,Argentina,sauropod,12.0m,loricatus,https://www.nhm.ac.uk/discover/dino-directory/saltasaurus.html,70.0,65.0,5
240,241,saltopus,carnivorous,Late Triassic,United Kingdom,small theropod,,elginensis,https://www.nhm.ac.uk/discover/dino-directory/saltopus.html,221.0,210.0,11
241,242,sarcosaurus,carnivorous,Early Jurassic,United Kingdom,small theropod,3.0m,woodi,https://www.nhm.ac.uk/discover/dino-directory/sarcosaurus.html,202.0,195.0,7
242,243,saurolophus,herbivorous,Late Cretaceous,Mongolia,euornithopod,9.0m,osborni,https://www.nhm.ac.uk/discover/dino-directory/saurolophus.html,74.0,70.0,4
243,244,sauropelta,herbivorous,Early Cretaceous,USA,armoured dinosaur,6.5m,edwardsorum,https://www.nhm.ac.uk/discover/dino-directory/sauropelta.html,121.0,94.0,27
244,245,saurophaganax,carnivorous,Late Jurassic,USA,large theropod,12.0m,maximus,https://www.nhm.ac.uk/discover/dino-directory/saurophaganax.html,154.0,142.0,12
245,246,saurornithoides,carnivorous,Late Cretaceous,Mongolia,small theropod,3.0m,mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/saurornithoides.html,85.0,80.0,5
246,247,scelidosaurus,herbivorous,Early Jurassic,United Kingdom,armoured dinosaur,4.0m,harrisonii,https://www.nhm.ac.uk/discover/dino-directory/scelidosaurus.html,208.0,194.0,14
247,248,scutellosaurus,herbivorous,Early Jurassic,USA,armoured dinosaur,1.2m,lawleri,https://www.nhm.ac.uk/discover/dino-directory/scutellosaurus.html,205.0,202.0,3
248,249,secernosaurus,herbivorous,Late Cretaceous,Argentina,euornithopod,3.0m,koerneri,https://www.nhm.ac.uk/discover/dino-directory/secernosaurus.html,71.0,65.0,6
249,250,segisaurus,carnivorous,Mid Jurassic,USA,small theropod,1.5m,halli,https://www.nhm.ac.uk/discover/dino-directory/segisaurus.html,195.0,180.0,15
250,251,segnosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,4.0m,galbinensis,https://www.nhm.ac.uk/discover/dino-directory/segnosaurus.html,97.0,88.0,9
251,252,shamosaurus,herbivorous,Early Cretaceous,Mongolia,armoured dinosaur,,scutatus,https://www.nhm.ac.uk/discover/dino-directory/shamosaurus.html,121.0,99.0,22
252,253,shanag,carnivorous,Early Cretaceous,Mongolia,small theropod,0.45m,ashile,https://www.nhm.ac.uk/discover/dino-directory/shanag.html,126.0,142.0,-16
253,254,shantungosaurus,herbivorous,Late Cretaceous,China,euornithopod,15.0m,giganteus,https://www.nhm.ac.uk/discover/dino-directory/shantungosaurus.html,78.0,74.0,4
254,255,shunosaurus,herbivorous,Mid Jurassic,China,sauropod,10.0m,lii,https://www.nhm.ac.uk/discover/dino-directory/shunosaurus.html,170.0,160.0,10
255,256,shuvuuia,omnivorous,Late Cretaceous,Mongolia,small theropod,0.6m,deserti,https://www.nhm.ac.uk/discover/dino-directory/shuvuuia.html,75.0,81.0,-6
256,257,silvisaurus,herbivorous,Early Cretaceous,USA,armoured dinosaur,4.0m,condrayi,https://www.nhm.ac.uk/discover/dino-directory/silvisaurus.html,121.0,112.0,9
257,258,sinocalliopteryx,carnivorous,Early Cretaceous,China,small theropod,2.37m,gigas,https://www.nhm.ac.uk/discover/dino-directory/sinocalliopteryx.html,125.0,0.0,125
258,259,sinornithosaurus,carnivorous,Early Cretaceous,China,small theropod,2.0m,millenii,https://www.nhm.ac.uk/discover/dino-directory/sinornithosaurus.html,122.0,120.0,2
259,260,sinosauropteryx,carnivorous,Early Cretaceous,China,small theropod,1.0m,prima,https://www.nhm.ac.uk/discover/dino-directory/sinosauropteryx.html,122.0,120.0,2
260,261,sinovenator,carnivorous,Early Cretaceous,China,small theropod,1.0m,changii,https://www.nhm.ac.uk/discover/dino-directory/sinovenator.html,127.0,121.0,6
261,262,sinraptor,carnivorous,Mid Jurassic,China,large theropod,7.6m,hepingensis,https://www.nhm.ac.uk/discover/dino-directory/sinraptor.html,169.0,142.0,27
262,263,sonidosaurus,herbivorous,Late Cretaceous,China,sauropod,9.0m,saihangaobiensis,https://www.nhm.ac.uk/discover/dino-directory/sonidosaurus.html,89.0,65.0,24
263,264,spinosaurus,carnivorous,Late Cretaceous,Morocco,large theropod,18.0m,aegyptiacus,https://www.nhm.ac.uk/discover/dino-directory/spinosaurus.html,95.0,70.0,25
264,265,staurikosaurus,carnivorous,Late Triassic,Brazil,large theropod,2.0m,pricei,https://www.nhm.ac.uk/discover/dino-directory/staurikosaurus.html,227.0,221.0,6
265,266,stegoceras,herbivorous,Late Cretaceous,USA,euornithopod,2.4m,validum,https://www.nhm.ac.uk/discover/dino-directory/stegoceras.html,76.0,74.0,2
266,267,stegosaurus,herbivorous,Late Jurassic,USA,armoured dinosaur,9.0m,armatus,https://www.nhm.ac.uk/discover/dino-directory/stegosaurus.html,155.0,145.0,10
267,268,stenopelix,herbivorous,Early Cretaceous,Germany,ceratopsian,1.5m,valdensis,https://www.nhm.ac.uk/discover/dino-directory/stenopelix.html,127.0,121.0,6
268,269,struthiomimus,omnivorous,Late Cretaceous,Canada,small theropod,4.0m,altus,https://www.nhm.ac.uk/discover/dino-directory/struthiomimus.html,76.0,74.0,2
269,270,struthiosaurus,herbivorous,Late Cretaceous,Spain,armoured dinosaur,2.5m,austriacus,https://www.nhm.ac.uk/discover/dino-directory/struthiosaurus.html,83.0,75.0,8
270,271,styracosaurus,herbivorous,Late Cretaceous,USA,ceratopsian,5.5m,albertensis,https://www.nhm.ac.uk/discover/dino-directory/styracosaurus.html,76.0,70.0,6
271,272,suchomimus,carnivorous,Early Cretaceous,Niger,large theropod,11.0m,tenerensis,https://www.nhm.ac.uk/discover/dino-directory/suchomimus.html,121.0,112.0,9
272,273,supersaurus,herbivorous,Early Cretaceous,USA,sauropod,35.0m,vivianae,https://www.nhm.ac.uk/discover/dino-directory/supersaurus.html,154.0,142.0,12
273,274,talarurus,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,6.0m,plicatospineus,https://www.nhm.ac.uk/discover/dino-directory/talarurus.html,99.0,89.0,10
274,275,tanius,herbivorous,Late Cretaceous,China,euornithopod,,sinensis,https://www.nhm.ac.uk/discover/dino-directory/tanius.html,89.0,65.0,24
275,276,tarbosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,10.0m,bataar,https://www.nhm.ac.uk/discover/dino-directory/tarbosaurus.html,74.0,70.0,4
276,277,tarchia,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,8.5m,gigantea,https://www.nhm.ac.uk/discover/dino-directory/tarchia.html,75.0,68.0,7
277,278,telmatosaurus,herbivorous,Late Cretaceous,Spain,euornithopod,5.0m,transsylvanicus,https://www.nhm.ac.uk/discover/dino-directory/telmatosaurus.html,84.0,65.0,19
278,279,tenontosaurus,herbivorous,Early Cretaceous,USA,euornithopod,7.0m,tillettorum,https://www.nhm.ac.uk/discover/dino-directory/tenontosaurus.html,120.0,110.0,10
279,280,thecodontosaurus,omnivorous,Late Triassic,United Kingdom,sauropod,2.5m,antiquus,https://www.nhm.ac.uk/discover/dino-directory/thecodontosaurus.html,227.0,205.0,22
280,281,therizinosaurus,unknown,Late Cretaceous,Mongolia,large theropod,,cheloniformis,https://www.nhm.ac.uk/discover/dino-directory/therizinosaurus.html,85.0,70.0,15
281,282,thescelosaurus,herbivorous,Late Cretaceous,USA,euornithopod,3.5m,neglectus,https://www.nhm.ac.uk/discover/dino-directory/thescelosaurus.html,76.0,67.0,9
282,283,torosaurus,herbivorous,Late Cretaceous,USA,ceratopsian,7.5m,latus,https://www.nhm.ac.uk/discover/dino-directory/torosaurus.html,70.0,65.0,5
283,284,torvosaurus,carnivorous,Late Jurassic,USA,large theropod,10.0m,tanneri,https://www.nhm.ac.uk/discover/dino-directory/torvosaurus.html,155.0,144.0,11
284,285,triceratops,herbivorous,Late Cretaceous,USA,ceratopsian,9.0m,horridus,https://www.nhm.ac.uk/discover/dino-directory/triceratops.html,68.0,66.0,2
285,286,troodon,carnivorous,Late Cretaceous,USA,small theropod,2.0m,formosus,https://www.nhm.ac.uk/discover/dino-directory/troodon.html,74.0,65.0,9
286,287,tsagantegia,herbivorous,Late Cretaceous,Mongolia,armoured dinosaur,,longicranialis,https://www.nhm.ac.uk/discover/dino-directory/tsagantegia.html,99.0,84.0,15
287,288,tsintaosaurus,herbivorous,Late Cretaceous,China,euornithopod,12.0m,spinorhinus,https://www.nhm.ac.uk/discover/dino-directory/tsintaosaurus.html,84.0,71.0,13
288,289,tuojiangosaurus,herbivorous,Late Jurassic,China,armoured dinosaur,7.0m,multispinus,https://www.nhm.ac.uk/discover/dino-directory/tuojiangosaurus.html,157.0,154.0,3
289,290,tylocephale,herbivorous,Late Cretaceous,Mongolia,euornithopod,1.4m,gilmorei,https://www.nhm.ac.uk/discover/dino-directory/tylocephale.html,75.0,72.0,3
290,291,tyrannosaurus,carnivorous,Late Cretaceous,USA,large theropod,12.0m,rex,https://www.nhm.ac.uk/discover/dino-directory/tyrannosaurus.html,68.0,66.0,2
291,292,udanoceratops,herbivorous,Late Cretaceous,Mongolia,ceratopsian,,tschizhovi,https://www.nhm.ac.uk/discover/dino-directory/udanoceratops.html,81.0,75.0,6
292,293,unenlagia,carnivorous,Late Cretaceous,Argentina,small theropod,2.4m,comahuensis,https://www.nhm.ac.uk/discover/dino-directory/unenlagia.html,94.0,86.0,8
293,294,urbacodon,carnivorous,Late Cretaceous,Uzbekistan,small theropod,1.0m,itemirensis,https://www.nhm.ac.uk/discover/dino-directory/urbacodon.html,95.0,0.0,95
294,295,utahraptor,carnivorous,Early Cretaceous,USA,large theropod,6.0m,ostrommaysorum,https://www.nhm.ac.uk/discover/dino-directory/utahraptor.html,112.0,100.0,12
295,296,valdosaurus,herbivorous,Early Cretaceous,United Kingdom,euornithopod,3.0m,canaliculatus,https://www.nhm.ac.uk/discover/dino-directory/valdosaurus.html,142.0,121.0,21
296,297,velociraptor,carnivorous,Late Cretaceous,Mongolia,small theropod,1.8m,mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/velociraptor.html,74.0,70.0,4
297,298,vulcanodon,herbivorous,Early Jurassic,Zimbabwe,sauropod,6.5m,karibaensis,https://www.nhm.ac.uk/discover/dino-directory/vulcanodon.html,205.0,202.0,3
298,299,yandusaurus,herbivorous,Mid Jurassic,China,euornithopod,3.0m,hongheensis,https://www.nhm.ac.uk/discover/dino-directory/yandusaurus.html,169.0,159.0,10
299,300,yangchuanosaurus,carnivorous,Late Jurassic,China,large theropod,10.0m,shangyouensis,https://www.nhm.ac.uk/discover/dino-directory/yangchuanosaurus.html,160.0,144.0,16
300,301,yimenosaurus,herbivorous,Early Jurassic,China,sauropod,9.0m,youngi,https://www.nhm.ac.uk/discover/dino-directory/yimenosaurus.html,195.0,190.0,5
301,302,yingshanosaurus,herbivorous,Late Jurassic,China,armoured dinosaur,,jichuanensis,https://www.nhm.ac.uk/discover/dino-directory/yingshanosaurus.html,159.0,142.0,17
302,303,yinlong,herbivorous,Mid Jurassic,China,ceratopsian,1.2m,downsi,https://www.nhm.ac.uk/discover/dino-directory/yinlong.html,159.0,154.0,5
303,304,yuanmousaurus,herbivorous,Mid Jurassic,China,sauropod,17.0m,jiangyiensis,https://www.nhm.ac.uk/discover/dino-directory/yuanmousaurus.html,180.0,159.0,21
304,305,yunnanosaurus,omnivorous,Early Jurassic,China,sauropod,7.0m,huangi,https://www.nhm.ac.uk/discover/dino-directory/yunnanosaurus.html,205.0,190.0,15
305,306,zalmoxes,herbivorous,Late Cretaceous,Romania,euornithopod,3.0m,robustus,https://www.nhm.ac.uk/discover/dino-directory/zalmoxes.html,69.0,0.0,69
306,307,zephyrosaurus,herbivorous,Early Cretaceous,USA,euornithopod,1.8m,schaffi,https://www.nhm.ac.uk/discover/dino-directory/zephyrosaurus.html,120.0,110.0,10
307,308,zuniceratops,herbivorous,Late Cretaceous,USA,ceratopsian,,christopheri,https://www.nhm.ac.uk/discover/dino-directory/zuniceratops.html,94.0,89.0,5
